"","x"
"1","Result"
"2","Cmp"
"3","Pct"
"4","Yds"
"5","TD"
"6","Yds.1"
"7","Avg"
"8","TD.1"
"9","Yds.2"
"10","Avg.1"
"11","Tot"
"12","No."
"13","Fum"
"14","Int"
"15","TO"
"16","TD.2"
"17","Yds.0"
