"","Team","X","Opponent","Result","Date"
"1","Air Force","","Non-Major","W (55-6)",2000-09-02
"2","Air Force","","Brigham Young","W (31-23)",2000-09-09
"3","Air Force","@","Utah","W (23-14)",2000-09-23
"4","Air Force","@","Nevada-Las Vegas","L (13-34)",2000-09-30
"5","Air Force","","Navy","W (27-13)",2000-10-07
"6","Air Force","@","Wyoming","W (51-34)",2000-10-14
"7","Air Force","","New Mexico","L (23-29)",2000-10-21
"8","Air Force","@","Notre Dame","L (31-34)",2000-10-28
"9","Air Force","@","Army","W (41-27)",2000-11-04
"10","Air Force","","Colorado State","W (44-40)",2000-11-11
"11","Air Force","","San Diego State","W (45-24)",2000-11-18
"12","Akron","@","Virginia Tech","L (23-52)",2000-09-02
"13","Akron","@","Central Michigan","L (7-17)",2000-09-09
"14","Akron","","Central Florida","W (35-24)",2000-09-16
"15","Akron","@","Ohio","W (23-20)",2000-09-23
"16","Akron","","Miami (OH)","W (37-20)",2000-09-30
"17","Akron","@","Bowling Green State","W (27-21)",2000-10-07
"18","Akron","","Northern Illinois","L (35-52)",2000-10-14
"19","Akron","","Connecticut","L (35-38)",2000-10-21
"20","Akron","","Marshall","L (28-31)",2000-10-28
"21","Akron","","Buffalo","W (49-14)",2000-11-11
"22","Akron","@","Kent State","W (34-6)",2000-11-18
"23","Alabama","@","UCLA","L (24-35)",2000-09-02
"24","Alabama","","Vanderbilt","W (28-10)",2000-09-09
"25","Alabama","","Southern Mississippi","L (0-21)",2000-09-16
"26","Alabama","@","Arkansas","L (21-28)",2000-09-23
"27","Alabama","","South Carolina","W (27-17)",2000-09-30
"28","Alabama","","Mississippi","W (45-7)",2000-10-14
"29","Alabama","@","Tennessee","L (10-20)",2000-10-21
"30","Alabama","","Central Florida","L (38-40)",2000-10-28
"31","Alabama","@","Louisiana State","L (28-30)",2000-11-04
"32","Alabama","@","Mississippi State","L (7-29)",2000-11-11
"33","Alabama","","Auburn","L (0-9)",2000-11-18
"34","Arizona","@","Utah","W (17-3)",2000-09-02
"35","Arizona","","Ohio State","L (17-27)",2000-09-09
"36","Arizona","","San Diego State","W (17-3)",2000-09-16
"37","Arizona","@","Stanford","W (27-3)",2000-09-30
"38","Arizona","@","Southern California","W (31-15)",2000-10-07
"39","Arizona","","Washington State","W (53-47)",2000-10-14
"40","Arizona","@","Oregon","L (10-14)",2000-10-21
"41","Arizona","","UCLA","L (24-27)",2000-10-28
"42","Arizona","@","Washington","L (32-35)",2000-11-04
"43","Arizona","","Oregon State","L (9-33)",2000-11-11
"44","Arizona","","Arizona State","L (17-30)",2000-11-24
"45","Arizona State","@","San Diego State","W (10-7)",2000-08-31
"46","Arizona State","","Colorado State","W (13-10)",2000-09-16
"47","Arizona State","","Utah State","W (44-20)",2000-09-23
"48","Arizona State","@","UCLA","L (31-38)",2000-09-30
"49","Arizona State","","California","W (30-10)",2000-10-07
"50","Arizona State","","Washington","L (15-21)",2000-10-14
"51","Arizona State","@","Washington State","W (23-20)",2000-10-21
"52","Arizona State","","Oregon","L (55-56)",2000-10-28
"53","Arizona State","","Southern California","L (38-44)",2000-11-04
"54","Arizona State","@","Stanford","L (7-29)",2000-11-11
"56","Arkansas","","Non-Major","W (38-0)",2000-09-02
"57","Arkansas","","Boise State","W (38-31)",2000-09-16
"59","Arkansas","","Georgia","L (7-38)",2000-09-30
"60","Arkansas","","Louisiana-Monroe","W (52-6)",2000-10-07
"61","Arkansas","@","South Carolina","L (7-27)",2000-10-14
"62","Arkansas","@","Auburn","L (19-21)",2000-10-28
"63","Arkansas","","Mississippi","L (24-38)",2000-11-04
"64","Arkansas","@","Tennessee","L (20-63)",2000-11-11
"65","Arkansas","@","Mississippi State","W (17-10)",2000-11-18
"66","Arkansas","","Louisiana State","W (14-3)",2000-11-24
"67","Arkansas State","@","North Carolina State","L (31-38)",2000-09-02
"68","Arkansas State","@","Oklahoma","L (7-45)",2000-09-09
"69","Arkansas State","","Memphis","L (17-19)",2000-09-16
"70","Arkansas State","@","Texas Christian","L (3-52)",2000-09-23
"71","Arkansas State","","Non-Major","L (27-30)",2000-09-30
"72","Arkansas State","@","Mississippi","L (10-35)",2000-10-07
"73","Arkansas State","@","Idaho","L (25-42)",2000-10-14
"74","Arkansas State","","New Mexico State","L (29-35)",2000-10-21
"75","Arkansas State","@","Utah State","L (31-44)",2000-10-28
"76","Arkansas State","","Boise State","L (14-42)",2000-11-04
"77","Arkansas State","","North Texas","W (53-28)",2000-11-11
"78","Army","@","Cincinnati","L (17-23)",2000-09-04
"79","Army","","Boston College","L (17-55)",2000-09-09
"80","Army","@","Houston","L (30-31)",2000-09-16
"81","Army","","Memphis","L (16-26)",2000-09-23
"82","Army","@","New Mexico State","L (23-42)",2000-10-07
"83","Army","@","East Carolina","L (21-42)",2000-10-14
"84","Army","","Tulane","W (21-17)",2000-10-21
"86","Army","@","Louisville","L (17-38)",2000-11-11
"87","Army","","Alabama-Birmingham","L (7-27)",2000-11-18
"88","Army","@","Navy","L (28-30)",2000-12-02
"89","Auburn","","Wyoming","W (35-21)",2000-08-31
"90","Auburn","@","Mississippi","W (35-27)",2000-09-09
"91","Auburn","","Louisiana State","W (34-17)",2000-09-16
"92","Auburn","","Northern Illinois","W (31-14)",2000-09-23
"93","Auburn","","Vanderbilt","W (33-0)",2000-09-30
"94","Auburn","@","Mississippi State","L (10-17)",2000-10-07
"95","Auburn","@","Florida","L (7-38)",2000-10-14
"96","Auburn","","Louisiana Tech","W (38-28)",2000-10-21
"98","Auburn","","Georgia","W (29-26)",2000-11-11
"100","Auburn","N","Florida","L (6-28)",2000-12-02
"101","Ball State","@","Florida","L (19-40)",2000-09-02
"102","Ball State","","Non-Major","L (14-24)",2000-09-09
"103","Ball State","@","Kansas State","L (0-76)",2000-09-16
"104","Ball State","","Northern Illinois","L (14-43)",2000-09-30
"105","Ball State","@","Miami (OH)","W (15-10)",2000-10-07
"106","Ball State","","Eastern Michigan","W (33-14)",2000-10-14
"107","Ball State","@","Buffalo","W (44-35)",2000-10-21
"108","Ball State","@","Central Michigan","W (38-34)",2000-10-28
"109","Ball State","","Western Michigan","L (3-42)",2000-11-04
"110","Ball State","@","Toledo","L (3-31)",2000-11-11
"111","Ball State","","Connecticut","W (29-0)",2000-11-18
"112","Baylor","@","North Texas","W (20-7)",2000-08-31
"113","Baylor","","Minnesota","L (9-34)",2000-09-16
"114","Baylor","","South Florida","W (28-13)",2000-09-23
"115","Baylor","","Iowa State","L (17-31)",2000-09-30
"116","Baylor","@","Texas Tech","L (0-28)",2000-10-07
"117","Baylor","","Texas A&M","L (0-24)",2000-10-14
"118","Baylor","@","Nebraska","L (0-59)",2000-10-21
"119","Baylor","@","Texas","L (14-48)",2000-10-28
"120","Baylor","","Oklahoma","L (7-56)",2000-11-04
"121","Baylor","","Missouri","L (22-47)",2000-11-11
"122","Baylor","@","Oklahoma State","L (22-50)",2000-11-18
"123","Boise State","@","New Mexico","W (31-14)",2000-09-02
"124","Boise State","","Non-Major","W (42-17)",2000-09-09
"126","Boise State","@","Central Michigan","W (47-10)",2000-09-23
"127","Boise State","@","Washington State","L (35-42)",2000-10-07
"128","Boise State","","Non-Major","W (41-23)",2000-10-14
"129","Boise State","","North Texas","W (59-0)",2000-10-21
"130","Boise State","@","New Mexico State","W (34-31)",2000-10-28
"132","Boise State","","Utah State","W (66-38)",2000-11-11
"133","Boise State","","Idaho","W (66-24)",2000-11-18
"134","Boston College","@","West Virginia","L (14-34)",2000-09-02
"136","Boston College","","Navy","W (48-7)",2000-09-23
"137","Boston College","","Virginia Tech","L (34-48)",2000-09-30
"138","Boston College","","Connecticut","W (55-3)",2000-10-07
"139","Boston College","","Syracuse","W (20-13)",2000-10-14
"140","Boston College","@","Pittsburgh","L (26-42)",2000-10-21
"141","Boston College","","Rutgers","W (42-13)",2000-10-28
"142","Boston College","","Temple","W (31-3)",2000-11-04
"143","Boston College","@","Notre Dame","L (16-28)",2000-11-11
"144","Boston College","@","Miami (FL)","L (6-52)",2000-11-25
"145","Bowling Green State","@","Michigan","L (7-42)",2000-09-02
"146","Bowling Green State","","Pittsburgh","L (16-34)",2000-09-09
"147","Bowling Green State","@","Temple","L (14-31)",2000-09-16
"148","Bowling Green State","@","Buffalo","L (17-20)",2000-09-23
"149","Bowling Green State","@","Kent State","W (18-11)",2000-09-30
"151","Bowling Green State","@","Miami (OH)","L (10-24)",2000-10-14
"152","Bowling Green State","","Eastern Michigan","W (20-6)",2000-10-21
"153","Bowling Green State","","Marshall","L (13-20)",2000-11-04
