"","Team","X","Opponent","Result","Date"
"1","Air Force","","Oklahoma","L (3-44)",2001-09-01
"2","Air Force","","Non-Major","W (42-0)",2001-09-08
"3","Air Force","@","San Diego State","W (45-21)",2001-09-29
"4","Air Force","@","Navy","W (24-18)",2001-10-06
"5","Air Force","","Wyoming","W (24-13)",2001-10-13
"6","Air Force","@","Brigham Young","L (33-63)",2001-10-20
"7","Air Force","@","New Mexico","L (33-52)",2001-10-27
"8","Air Force","","Army","W (34-24)",2001-11-03
"9","Air Force","@","Colorado State","L (21-28)",2001-11-08
"10","Air Force","","Nevada-Las Vegas","L (10-34)",2001-11-17
"11","Air Force","@","Hawaii","L (30-52)",2001-11-24
"12","Air Force","","Utah","W (38-37)",2001-12-01
"13","Akron","","Ohio","W (31-29)",2001-08-30
"14","Akron","@","Ohio State","L (14-28)",2001-09-08
"15","Akron","@","Purdue","L (14-33)",2001-09-22
"16","Akron","","Kent State","W (14-10)",2001-09-29
"17","Akron","@","Western Michigan","L (14-31)",2001-10-06
"18","Akron","@","Miami (OH)","L (27-30)",2001-10-13
"19","Akron","","Bowling Green State","L (11-16)",2001-10-20
"20","Akron","@","Marshall","L (33-50)",2001-10-27
"21","Akron","@","Central Florida","L (17-57)",2001-11-03
"22","Akron","@","Buffalo","W (41-14)",2001-11-17
"23","Akron","","Eastern Michigan","W (65-62)",2001-11-24
"24","Alabama","","UCLA","L (17-20)",2001-09-01
"25","Alabama","@","Vanderbilt","W (12-9)",2001-09-08
"26","Alabama","","Arkansas","W (31-10)",2001-09-22
"27","Alabama","@","South Carolina","L (36-37)",2001-09-29
"28","Alabama","","Texas-El Paso","W (56-7)",2001-10-06
"29","Alabama","@","Mississippi","L (24-27)",2001-10-13
"30","Alabama","","Tennessee","L (24-35)",2001-10-20
"31","Alabama","","Louisiana State","L (21-35)",2001-11-03
"32","Alabama","","Mississippi State","W (24-17)",2001-11-10
"33","Alabama","@","Auburn","W (31-7)",2001-11-17
"34","Alabama","","Southern Mississippi","W (28-15)",2001-11-29
"35","Arizona","@","San Diego State","W (23-10)",2001-08-30
"36","Arizona","","Idaho","W (36-29)",2001-09-08
"37","Arizona","","Nevada-Las Vegas","W (38-21)",2001-09-22
"38","Arizona","","Washington State","L (21-48)",2001-09-29
"39","Arizona","","Oregon","L (28-63)",2001-10-06
"40","Arizona","@","Oregon State","L (3-38)",2001-10-13
"41","Arizona","@","Washington","L (28-31)",2001-10-20
"42","Arizona","","Southern California","L (34-41)",2001-10-27
"43","Arizona","@","California","W (38-24)",2001-11-03
"44","Arizona","","Stanford","L (37-51)",2001-11-10
"45","Arizona","@","Arizona State","W (34-21)",2001-11-23
"46","Arizona State","","San Diego State","W (38-7)",2001-09-08
"47","Arizona State","@","Stanford","L (28-51)",2001-09-22
"48","Arizona State","","San Jose State","W (53-15)",2001-09-29
"49","Arizona State","","Louisiana","W (63-27)",2001-10-06
"50","Arizona State","@","Southern California","L (17-48)",2001-10-13
"51","Arizona State","","Oregon State","W (41-24)",2001-10-20
"52","Arizona State","","Washington","L (31-33)",2001-10-27
"53","Arizona State","@","Oregon","L (24-42)",2001-11-03
"54","Arizona State","","Washington State","L (16-28)",2001-11-10
"56","Arizona State","@","UCLA","L (42-52)",2001-12-01
"57","Arkansas","","Nevada-Las Vegas","W (14-10)",2001-08-30
"58","Arkansas","","Tennessee","L (3-13)",2001-09-08
"60","Arkansas","@","Georgia","L (23-34)",2001-09-29
"61","Arkansas","","Non-Major","W (42-19)",2001-10-06
"62","Arkansas","","South Carolina","W (10-7)",2001-10-13
"63","Arkansas","","Auburn","W (42-17)",2001-10-27
"64","Arkansas","@","Mississippi","W (58-56)",2001-11-03
"65","Arkansas","","Central Florida","W (27-20)",2001-11-10
"66","Arkansas","","Mississippi State","W (24-21)",2001-11-17
"67","Arkansas","@","Louisiana State","L (38-41)",2001-11-23
"68","Arkansas State","@","Georgia","L (17-45)",2001-09-01
"69","Arkansas State","@","Baylor","L (3-24)",2001-09-08
"70","Arkansas State","","Non-Major","L (28-31)",2001-09-22
"71","Arkansas State","","Mississippi","L (17-35)",2001-10-06
"72","Arkansas State","","Louisiana","W (26-20)",2001-10-13
"73","Arkansas State","@","North Texas","L (0-45)",2001-10-20
"74","Arkansas State","","Idaho","W (34-31)",2001-10-27
"75","Arkansas State","@","Middle Tennessee State","L (6-54)",2001-11-03
"76","Arkansas State","@","New Mexico State","L (17-28)",2001-11-10
"77","Arkansas State","","Louisiana-Monroe","L (7-16)",2001-11-17
"78","Arkansas State","","Non-Major","L (22-28)",2001-11-22
"79","Army","","Cincinnati","L (21-24)",2001-09-08
"80","Army","@","Alabama-Birmingham","L (3-55)",2001-09-22
"81","Army","@","Boston College","L (10-31)",2001-09-29
"82","Army","","Houston","W (28-14)",2001-10-06
"83","Army","","East Carolina","L (26-49)",2001-10-13
"84","Army","@","Texas Christian","L (20-38)",2001-10-20
"85","Army","","Tulane","W (42-35)",2001-10-27
"87","Army","","Buffalo","L (19-26)",2001-11-10
"88","Army","@","Memphis","L (10-42)",2001-11-17
"89","Army","N","Navy","W (26-17)",2001-12-01
"90","Auburn","","Ball State","W (30-0)",2001-09-01
"91","Auburn","","Mississippi","W (27-21)",2001-09-08
"92","Auburn","@","Syracuse","L (14-31)",2001-09-22
"93","Auburn","@","Vanderbilt","W (24-21)",2001-09-29
"94","Auburn","","Mississippi State","W (16-14)",2001-10-06
"95","Auburn","","Florida","W (23-20)",2001-10-13
"96","Auburn","","Louisiana Tech","W (48-41)",2001-10-20
"98","Auburn","@","Georgia","W (24-17)",2001-11-10
"100","Auburn","@","Louisiana State","L (14-27)",2001-12-01
"102","Ball State","@","Kentucky","L (20-28)",2001-09-08
"103","Ball State","","Non-Major","L (39-42)",2001-09-22
"104","Ball State","","Miami (OH)","L (20-28)",2001-09-29
"105","Ball State","@","Eastern Michigan","W (35-14)",2001-10-13
"106","Ball State","","Toledo","W (24-20)",2001-10-20
"107","Ball State","@","Connecticut","W (10-5)",2001-10-27
"108","Ball State","","Central Michigan","W (38-34)",2001-11-03
"109","Ball State","","Kent State","L (18-31)",2001-11-10
"110","Ball State","@","Northern Illinois","L (29-33)",2001-11-17
"111","Ball State","@","Western Michigan","W (35-31)",2001-11-24
