"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","louisiana-lafayette","2001-09-01","","Nicholls State","W (20-0)",12,27,44.4,179,0,43,110,2.6,2,70,289,4.1,5,9,2,16,12,82,3,0,3
"3","louisiana-lafayette","2001-09-08","@","Minnesota","L (14-44)",18,35,51.4,126,1,26,30,1.2,0,61,156,2.6,5,3,2,10,9,77,1,0,1
"4","louisiana-lafayette","2001-09-22","","Southern Mississippi","L (10-35)",10,39,25.6,137,0,17,7,0.4,1,56,144,2.6,5,2,1,8,6,43,0,3,3
"5","louisiana-lafayette","2001-09-29","","Middle Tennessee State","L (9-26)",26,42,61.9,241,1,37,105,2.8,0,79,346,4.4,14,8,2,24,9,81,2,2,4
"6","louisiana-lafayette","2001-10-06","@","Arizona State","L (27-63)",22,47,46.8,252,1,32,114,3.6,2,79,366,4.6,11,6,1,18,9,62,1,1,2
"7","louisiana-lafayette","2001-10-13","@","Arkansas State","L (20-26)",29,40,72.5,261,2,28,119,4.3,1,68,380,5.6,13,7,1,21,10,71,2,1,3
"8","louisiana-lafayette","2001-10-20","@","Idaho","W (54-37)",27,35,77.1,407,3,50,234,4.7,4,85,641,7.5,17,10,1,28,4,20,0,1,1
"9","louisiana-lafayette","2001-10-27","","Louisiana-Monroe","W (17-12)",20,33,60.6,226,1,34,51,1.5,1,67,277,4.1,10,4,1,15,9,80,1,0,1
"10","louisiana-lafayette","2001-11-10","@","North Texas","L (17-42)",35,67,52.2,344,1,20,100,5,1,87,444,5.1,15,3,3,21,12,115,1,1,2
"11","louisiana-lafayette","2001-11-17","","New Mexico State","L (46-49)",26,43,60.5,329,4,32,127,4,1,75,456,6.1,17,7,2,26,6,45,0,1,1
"12","louisiana-lafayette","2001-11-24","@","Central Florida","L (0-31)",20,41,48.8,184,0,27,30,1.1,0,68,214,3.1,11,3,1,15,8,47,1,1,2
