"","Team","X","Opponent","Result","Date"
"1","Air Force","","California","L (14-56)",2004-09-04
"2","Air Force","","Non-Major","W (42-20)",2004-09-11
"3","Air Force","@","Nevada-Las Vegas","W (27-10)",2004-09-18
"4","Air Force","@","Utah","L (35-49)",2004-09-25
"5","Air Force","","Navy","L (21-24)",2004-09-30
"6","Air Force","","New Mexico","W (28-23)",2004-10-09
"7","Air Force","","Brigham Young","L (24-41)",2004-10-23
"8","Air Force","@","Wyoming","L (26-43)",2004-10-30
"9","Air Force","@","Army","W (31-22)",2004-11-06
"10","Air Force","","San Diego State","L (31-37)",2004-11-13
"11","Air Force","","Colorado State","W (47-17)",2004-11-20
"12","Akron","@","Penn State","L (10-48)",2004-09-04
"13","Akron","","Middle Tennessee State","L (24-31)",2004-09-11
"14","Akron","@","Virginia","L (0-51)",2004-09-18
"15","Akron","@","Kent State","W (24-19)",2004-09-23
"16","Akron","@","Northern Illinois","L (19-49)",2004-10-02
"17","Akron","","Buffalo","W (44-21)",2004-10-09
"18","Akron","@","Central Florida","W (26-21)",2004-10-16
"19","Akron","","Ball State","W (35-23)",2004-10-23
"20","Akron","","Marshall","W (31-28)",2004-11-05
"21","Akron","@","Ohio","W (31-19)",2004-11-13
"22","Akron","","Miami (OH)","L (27-37)",2004-11-20
"23","Alabama","","Utah State","W (48-17)",2004-09-04
"24","Alabama","","Mississippi","W (28-7)",2004-09-11
"25","Alabama","","Non-Major","W (52-0)",2004-09-18
"26","Alabama","@","Arkansas","L (10-27)",2004-09-25
"27","Alabama","","South Carolina","L (3-20)",2004-10-02
"28","Alabama","@","Kentucky","W (45-17)",2004-10-09
"29","Alabama","","Southern Mississippi","W (27-3)",2004-10-16
"30","Alabama","@","Tennessee","L (13-17)",2004-10-23
"31","Alabama","","Mississippi State","W (30-14)",2004-11-06
"32","Alabama","@","Louisiana State","L (10-26)",2004-11-13
"33","Alabama","","Auburn","L (13-21)",2004-11-20
"34","Alabama","N","Minnesota","L (16-20)",2004-12-31
"35","Arizona","","Non-Major","W (21-3)",2004-09-04
"36","Arizona","","Utah","L (6-23)",2004-09-11
"37","Arizona","","Wisconsin","L (7-9)",2004-09-18
"38","Arizona","","Washington State","L (19-20)",2004-09-25
"39","Arizona","@","UCLA","L (17-37)",2004-10-09
"40","Arizona","@","Oregon","L (14-28)",2004-10-16
"41","Arizona","","California","L (0-38)",2004-10-23
"42","Arizona","","Oregon State","L (14-28)",2004-10-30
"43","Arizona","@","Washington","W (23-13)",2004-11-06
"44","Arizona","@","Southern California","L (9-49)",2004-11-13
"45","Arizona","","Arizona State","W (34-27)",2004-11-26
"46","Arizona State","","Texas-El Paso","W (41-9)",2004-09-02
"47","Arizona State","@","Northwestern","W (30-21)",2004-09-11
"48","Arizona State","","Iowa","W (44-7)",2004-09-18
"49","Arizona State","","Oregon State","W (27-14)",2004-09-25
"50","Arizona State","@","Oregon","W (28-13)",2004-10-02
"51","Arizona State","@","Southern California","L (7-45)",2004-10-16
"52","Arizona State","","UCLA","W (48-42)",2004-10-23
"53","Arizona State","@","California","L (0-27)",2004-10-30
"54","Arizona State","","Stanford","W (34-31)",2004-11-06
"55","Arizona State","","Washington State","W (45-28)",2004-11-13
"57","Arizona State","N","Purdue","W (27-23)",2004-12-31
"58","Arkansas","","New Mexico State","W (63-13)",2004-09-04
"59","Arkansas","","Texas","L (20-22)",2004-09-11
"60","Arkansas","","Louisiana-Monroe","W (49-20)",2004-09-18
"62","Arkansas","@","Florida","L (30-45)",2004-10-02
"63","Arkansas","@","Auburn","L (20-38)",2004-10-16
"64","Arkansas","","Georgia","L (14-20)",2004-10-23
"65","Arkansas","@","South Carolina","L (32-35)",2004-11-06
"66","Arkansas","","Mississippi","W (35-3)",2004-11-13
"67","Arkansas","@","Mississippi State","W (24-21)",2004-11-20
"68","Arkansas","","Louisiana State","L (14-43)",2004-11-26
"69","Arkansas State","@","Missouri","L (20-52)",2004-09-04
"70","Arkansas State","@","Louisiana State","L (3-53)",2004-09-11
"71","Arkansas State","","Memphis","L (35-47)",2004-09-18
"72","Arkansas State","@","Louisiana-Monroe","W (28-21)",2004-09-25
"73","Arkansas State","@","Mississippi","L (21-28)",2004-10-02
"74","Arkansas State","@","Middle Tennessee State","L (17-45)",2004-10-09
"75","Arkansas State","","Troy","W (13-9)",2004-10-16
