"","Team","X","Opponent","Result","Date"
"1","Air Force","","Non-Major","W (37-20)",2011-09-03
"2","Air Force","","Texas Christian","L (19-35)",2011-09-10
"3","Air Force","","Non-Major","W (63-24)",2011-09-24
"4","Air Force","@","Navy","W (35-34)",2011-10-01
"5","Air Force","@","Notre Dame","L (33-59)",2011-10-08
"6","Air Force","","San Diego State","L (27-41)",2011-10-13
"7","Air Force","@","Boise State","L (26-37)",2011-10-22
"8","Air Force","@","New Mexico","W (42-0)",2011-10-29
"9","Air Force","","Army","W (24-14)",2011-11-05
"10","Air Force","","Wyoming","L (17-25)",2011-11-12
"11","Air Force","","Nevada-Las Vegas","W (45-17)",2011-11-19
"12","Air Force","@","Colorado State","W (45-21)",2011-11-26
"13","Air Force","N","Toledo","L (41-42)",2011-12-28
"14","Akron","@","Ohio State","L (0-42)",2011-09-03
"15","Akron","","Temple","L (3-41)",2011-09-10
"16","Akron","@","Cincinnati","L (14-59)",2011-09-17
"17","Akron","","Non-Major","W (36-13)",2011-09-24
"18","Akron","@","Eastern Michigan","L (23-31)",2011-10-01
"19","Akron","","Florida International","L (17-27)",2011-10-08
"20","Akron","","Ohio","L (20-37)",2011-10-22
"21","Akron","","Central Michigan","L (22-23)",2011-10-29
"22","Akron","@","Miami (OH)","L (3-35)",2011-11-03
"23","Akron","","Kent State","L (3-35)",2011-11-12
"24","Akron","@","Buffalo","L (10-51)",2011-11-19
"25","Akron","@","Western Michigan","L (19-68)",2011-11-25
"26","Alabama","","Kent State","W (48-7)",2011-09-03
"27","Alabama","@","Penn State","W (27-11)",2011-09-10
"28","Alabama","","North Texas","W (41-0)",2011-09-17
"29","Alabama","","Arkansas","W (38-14)",2011-09-24
"30","Alabama","@","Florida","W (38-10)",2011-10-01
"31","Alabama","","Vanderbilt","W (34-0)",2011-10-08
"32","Alabama","@","Mississippi","W (52-7)",2011-10-15
"33","Alabama","","Tennessee","W (37-6)",2011-10-22
"34","Alabama","","Louisiana State","L (6-9)",2011-11-05
"35","Alabama","@","Mississippi State","W (24-7)",2011-11-12
"36","Alabama","","Non-Major","W (45-21)",2011-11-19
"37","Alabama","@","Auburn","W (42-14)",2011-11-26
"38","Alabama","N","Louisiana State","W (21-0)",2012-01-09
"39","Arizona","","Non-Major","W (41-10)",2011-09-03
"40","Arizona","@","Oklahoma State","L (14-37)",2011-09-08
"41","Arizona","","Stanford","L (10-37)",2011-09-17
"42","Arizona","","Oregon","L (31-56)",2011-09-24
"43","Arizona","@","Southern California","L (41-48)",2011-10-01
"44","Arizona","@","Oregon State","L (27-37)",2011-10-08
"45","Arizona","","UCLA","W (48-12)",2011-10-20
"46","Arizona","@","Washington","L (31-42)",2011-10-29
"47","Arizona","","Utah","L (21-34)",2011-11-05
"48","Arizona","@","Colorado","L (29-48)",2011-11-12
"49","Arizona","@","Arizona State","W (31-27)",2011-11-19
"50","Arizona","","Louisiana","W (45-37)",2011-11-26
"51","Arizona State","","Non-Major","W (48-14)",2011-09-01
"52","Arizona State","","Missouri","W (37-30)",2011-09-09
"53","Arizona State","@","Illinois","L (14-17)",2011-09-17
"54","Arizona State","","Southern California","W (43-22)",2011-09-24
"55","Arizona State","","Oregon State","W (35-20)",2011-10-01
"56","Arizona State","@","Utah","W (35-14)",2011-10-08
"57","Arizona State","@","Oregon","L (27-41)",2011-10-15
"58","Arizona State","","Colorado","W (48-14)",2011-10-29
"59","Arizona State","@","UCLA","L (28-29)",2011-11-05
"60","Arizona State","@","Washington State","L (27-37)",2011-11-12
"62","Arizona State","","California","L (38-47)",2011-11-25
"63","Arizona State","N","Boise State","L (24-56)",2011-12-22
"64","Arkansas","","Non-Major","W (51-7)",2011-09-03
"65","Arkansas","","New Mexico","W (52-3)",2011-09-10
"66","Arkansas","","Troy","W (38-28)",2011-09-17
"68","Arkansas","N","Texas A&M","W (42-38)",2011-10-01
"69","Arkansas","","Auburn","W (38-14)",2011-10-08
