"","Team","X","Opponent","Result","Date"
"1","Air Force","","Non-Major","W (41-7)",2008-08-30
"2","Air Force","@","Wyoming","W (23-3)",2008-09-06
"3","Air Force","@","Houston","W (31-28)",2008-09-13
"4","Air Force","","Utah","L (23-30)",2008-09-20
"5","Air Force","","Navy","L (27-33)",2008-10-04
"6","Air Force","@","San Diego State","W (35-10)",2008-10-11
"7","Air Force","@","Nevada-Las Vegas","W (29-28)",2008-10-18
"8","Air Force","","New Mexico","W (23-10)",2008-10-23
"9","Air Force","@","Army","W (16-7)",2008-11-01
"10","Air Force","","Colorado State","W (38-17)",2008-11-08
"11","Air Force","","Brigham Young","L (24-38)",2008-11-15
"12","Air Force","@","Texas Christian","L (10-44)",2008-11-22
"13","Air Force","N","Houston","L (28-34)",2008-12-31
"14","Akron","@","Wisconsin","L (17-38)",2008-08-30
"15","Akron","@","Syracuse","W (42-28)",2008-09-06
"16","Akron","","Ball State","L (24-41)",2008-09-13
"17","Akron","@","Army","W (22-3)",2008-09-20
"18","Akron","","Cincinnati","L (15-17)",2008-09-27
"19","Akron","@","Kent State","W (30-27)",2008-10-04
"20","Akron","","Bowling Green State","L (33-37)",2008-10-11
"21","Akron","@","Eastern Michigan","W (42-35)",2008-10-18
"22","Akron","","Toledo","W (47-30)",2008-11-05
"23","Akron","","Buffalo","L (40-43)",2008-11-13
"24","Akron","@","Ohio","L (42-49)",2008-11-22
"25","Akron","@","Temple","L (6-27)",2008-11-28
"26","Alabama","N","Clemson","W (34-10)",2008-08-30
"27","Alabama","","Tulane","W (20-6)",2008-09-06
"28","Alabama","","Western Kentucky","W (41-7)",2008-09-13
"29","Alabama","@","Arkansas","W (49-14)",2008-09-20
"30","Alabama","@","Georgia","W (41-30)",2008-09-27
"31","Alabama","","Kentucky","W (17-14)",2008-10-04
"32","Alabama","","Mississippi","W (24-20)",2008-10-18
"33","Alabama","@","Tennessee","W (29-9)",2008-10-25
"34","Alabama","","Arkansas State","W (35-0)",2008-11-01
"35","Alabama","@","Louisiana State","W (27-21)",2008-11-08
"36","Alabama","","Mississippi State","W (32-7)",2008-11-15
"37","Alabama","","Auburn","W (36-0)",2008-11-29
"38","Alabama","N","Florida","L (20-31)",2008-12-06
"39","Alabama","N","Utah","L (17-31)",2009-01-02
"40","Arizona","","Idaho","W (70-0)",2008-08-30
"41","Arizona","","Toledo","W (41-16)",2008-09-06
"42","Arizona","@","New Mexico","L (28-36)",2008-09-13
"43","Arizona","@","UCLA","W (31-10)",2008-09-20
"44","Arizona","","Washington","W (48-14)",2008-10-04
"45","Arizona","@","Stanford","L (23-24)",2008-10-11
"46","Arizona","","California","W (42-27)",2008-10-18
"47","Arizona","","Southern California","L (10-17)",2008-10-25
"48","Arizona","@","Washington State","W (59-28)",2008-11-08
"49","Arizona","@","Oregon","L (45-55)",2008-11-15
"50","Arizona","","Oregon State","L (17-19)",2008-11-22
"51","Arizona","","Arizona State","W (31-10)",2008-12-06
"52","Arizona","N","Brigham Young","W (31-21)",2008-12-20
"53","Arizona State","","Non-Major","W (30-13)",2008-08-30
"54","Arizona State","","Stanford","W (41-17)",2008-09-06
"55","Arizona State","","Nevada-Las Vegas","L (20-23)",2008-09-13
"56","Arizona State","","Georgia","L (10-27)",2008-09-20
"57","Arizona State","@","California","L (14-24)",2008-10-04
"58","Arizona State","@","Southern California","L (0-28)",2008-10-11
"59","Arizona State","","Oregon","L (20-54)",2008-10-25
"60","Arizona State","@","Oregon State","L (25-27)",2008-11-01
"61","Arizona State","@","Washington","W (39-19)",2008-11-08
"62","Arizona State","","Washington State","W (31-0)",2008-11-15
"63","Arizona State","","UCLA","W (34-9)",2008-11-28
"65","Arkansas","","Non-Major","W (28-24)",2008-08-30
"66","Arkansas","","Louisiana-Monroe","W (28-27)",2008-09-06
"68","Arkansas","@","Texas","L (10-52)",2008-09-27
"69","Arkansas","","Florida","L (7-38)",2008-10-04
"70","Arkansas","@","Auburn","W (25-22)",2008-10-11
"71","Arkansas","@","Kentucky","L (20-21)",2008-10-18
"72","Arkansas","","Mississippi","L (21-23)",2008-10-25
"73","Arkansas","","Tulsa","W (30-23)",2008-11-01
"74","Arkansas","@","South Carolina","L (21-34)",2008-11-08
"75","Arkansas","@","Mississippi State","L (28-31)",2008-11-22
"76","Arkansas","","Louisiana State","W (31-30)",2008-11-28
"77","Arkansas State","@","Texas A&M","W (18-14)",2008-08-30
"78","Arkansas State","","Non-Major","W (83-10)",2008-09-06
"79","Arkansas State","","Southern Mississippi","L (24-27)",2008-09-13
"80","Arkansas State","","Middle Tennessee State","W (31-14)",2008-09-20
"81","Arkansas State","@","Memphis","L (17-29)",2008-09-27
"82","Arkansas State","","Louisiana-Monroe","W (37-29)",2008-10-11
"83","Arkansas State","@","Louisiana","L (23-28)",2008-10-18
"85","Arkansas State","@","Florida International","L (21-22)",2008-11-08
"86","Arkansas State","","Florida Atlantic","W (28-14)",2008-11-22
"87","Arkansas State","@","North Texas","W (33-28)",2008-11-29
"88","Arkansas State","@","Troy","L (9-35)",2008-12-06
"89","Army","","Temple","L (7-35)",2008-08-29
"90","Army","","Non-Major","L (10-28)",2008-09-06
"92","Army","@","Texas A&M","L (17-21)",2008-09-27
"93","Army","@","Tulane","W (44-13)",2008-10-04
"94","Army","","Eastern Michigan","W (17-13)",2008-10-11
"95","Army","@","Buffalo","L (24-27)",2008-10-18
"96","Army","","Louisiana Tech","W (14-7)",2008-10-25
"98","Army","@","Rice","L (31-38)",2008-11-08
"99","Army","@","Rutgers","L (3-30)",2008-11-22
"100","Army","N","Navy","L (0-34)",2008-12-06
"101","Auburn","","Louisiana-Monroe","W (34-0)",2008-08-30
"102","Auburn","","Southern Mississippi","W (27-13)",2008-09-06
"103","Auburn","@","Mississippi State","W (3-2)",2008-09-13
"104","Auburn","","Louisiana State","L (21-26)",2008-09-20
"105","Auburn","","Tennessee","W (14-12)",2008-09-27
"106","Auburn","@","Vanderbilt","L (13-14)",2008-10-04
"108","Auburn","@","West Virginia","L (17-34)",2008-10-23
"109","Auburn","@","Mississippi","L (7-17)",2008-11-01
"110","Auburn","","Non-Major","W (37-20)",2008-11-08
